Date,Close
"Oct 12, 2021",17991.95
"Oct 11, 2021",17945.95
"Oct 08, 2021",17895.20
"Oct 07, 2021",17790.35
"Oct 06, 2021",17646.00
"Oct 05, 2021",17822.30
"Oct 04, 2021",17691.25
"Oct 01, 2021",17532.05
"Sep 30, 2021",17618.15
"Sep 29, 2021",17711.30
"Sep 28, 2021",17748.60
"Sep 27, 2021",17855.10
"Sep 24, 2021",17853.20
"Sep 23, 2021",17822.95
"Sep 22, 2021",17546.65
"Sep 21, 2021",17562.00
"Sep 20, 2021",17396.90
"Sep 17, 2021",17585.15
"Sep 16, 2021",17629.50
"Sep 15, 2021",17519.45
"Sep 14, 2021",17380.00
"Sep 13, 2021",17355.30
"Sep 09, 2021",17369.25
"Sep 08, 2021",17353.50
"Sep 07, 2021",17362.10
"Sep 06, 2021",17377.80
"Sep 03, 2021",17323.60
"Sep 02, 2021",17234.15
"Sep 01, 2021",17076.25
"Aug 31, 2021",17132.20
"Aug 30, 2021",16931.05
"Aug 27, 2021",16705.20
"Aug 26, 2021",16636.90
"Aug 25, 2021",16634.65
"Aug 24, 2021",16624.60
"Aug 23, 2021",16496.45
"Aug 20, 2021",16450.50
"Aug 18, 2021",16568.85
"Aug 17, 2021",16614.60
"Aug 16, 2021",16563.05
"Aug 13, 2021",16529.10
"Aug 12, 2021",16364.40
"Aug 11, 2021",16282.25
"Aug 10, 2021",16280.10
"Aug 09, 2021",16258.25
"Aug 06, 2021",16238.20
"Aug 05, 2021",16294.60
"Aug 04, 2021",16258.80
"Aug 03, 2021",16130.75
"Aug 02, 2021",15885.15
"Jul 30, 2021",15763.05
"Jul 29, 2021",15778.45
"Jul 28, 2021",15709.40
"Jul 27, 2021",15746.45
"Jul 26, 2021",15824.45
"Jul 23, 2021",15856.05
"Jul 22, 2021",15824.05
"Jul 20, 2021",15632.10
"Jul 19, 2021",15752.40
"Jul 16, 2021",15923.40
"Jul 15, 2021",15924.20
"Jul 14, 2021",15853.95
"Jul 13, 2021",15812.35
"Jul 12, 2021",15692.60
"Jul 09, 2021",15689.80
"Jul 08, 2021",15727.90
"Jul 07, 2021",15879.65
"Jul 06, 2021",15818.25
"Jul 05, 2021",15834.35
"Jul 02, 2021",15722.20
"Jul 01, 2021",15680.00
"Jun 30, 2021",15721.50
"Jun 29, 2021",15748.45
"Jun 28, 2021",15814.70
"Jun 25, 2021",15860.35
"Jun 24, 2021",15790.45
"Jun 23, 2021",15686.95
"Jun 22, 2021",15772.75
"Jun 21, 2021",15746.50
"Jun 18, 2021",15683.35
"Jun 17, 2021",15691.40
"Jun 16, 2021",15767.55
"Jun 15, 2021",15869.25
"Jun 14, 2021",15811.85
"Jun 11, 2021",15799.35
"Jun 10, 2021",15737.75
"Jun 09, 2021",15635.35
"Jun 08, 2021",15740.10
"Jun 07, 2021",15751.65
"Jun 04, 2021",15670.25
"Jun 03, 2021",15690.35
"Jun 02, 2021",15576.20
"Jun 01, 2021",15574.85
"May 31, 2021",15582.80
"May 28, 2021",15435.65
"May 27, 2021",15337.85
"May 26, 2021",15301.45
"May 25, 2021",15208.45
"May 24, 2021",15197.70
"May 21, 2021",15175.30
"May 20, 2021",14906.05
"May 19, 2021",15030.15
"May 18, 2021",15108.10
"May 17, 2021",14923.15
"May 14, 2021",14677.80
"May 12, 2021",14696.50
"May 11, 2021",14850.75
"May 10, 2021",14942.35
"May 07, 2021",14823.15
"May 06, 2021",14724.80
"May 05, 2021",14617.85
"May 04, 2021",14496.50
"May 03, 2021",14634.15
"Apr 30, 2021",14631.10
"Apr 29, 2021",14894.90
"Apr 28, 2021",14864.55
"Apr 27, 2021",14653.05
"Apr 26, 2021",14485.00
"Apr 23, 2021",14341.35
"Apr 22, 2021",14406.15
"Apr 20, 2021",14296.40
"Apr 19, 2021",14359.45
"Apr 16, 2021",14617.85
"Apr 15, 2021",14581.45
"Apr 13, 2021",14504.80
"Apr 12, 2021",14310.80
"Apr 09, 2021",14834.85
"Apr 08, 2021",14873.80
"Apr 07, 2021",14819.05
"Apr 06, 2021",14683.50
"Apr 05, 2021",14637.80
"Apr 01, 2021",14867.35
"Mar 31, 2021",14690.70
"Mar 30, 2021",14845.10
"Mar 26, 2021",14507.30
"Mar 25, 2021",14324.90
"Mar 24, 2021",14549.40
"Mar 23, 2021",14814.75
"Mar 22, 2021",14736.40
"Mar 19, 2021",14744.00
"Mar 18, 2021",14557.85
"Mar 17, 2021",14721.30
"Mar 16, 2021",14910.45
"Mar 15, 2021",14929.50
"Mar 12, 2021",15030.95
"Mar 10, 2021",15174.80
"Mar 09, 2021",15098.40
"Mar 08, 2021",14956.20
"Mar 05, 2021",14938.10
"Mar 04, 2021",15080.75
"Mar 03, 2021",15245.60
"Mar 02, 2021",14919.10
"Mar 01, 2021",14761.55
"Feb 26, 2021",14529.15
"Feb 25, 2021",15097.35
"Feb 24, 2021",14982.00
"Feb 23, 2021",14707.80
"Feb 22, 2021",14675.70
"Feb 19, 2021",14981.75
"Feb 18, 2021",15118.95
"Feb 17, 2021",15208.90
"Feb 16, 2021",15313.45
"Feb 15, 2021",15314.70
"Feb 12, 2021",15163.30
"Feb 11, 2021",15173.30
"Feb 10, 2021",15106.50
"Feb 09, 2021",15109.30
"Feb 08, 2021",15115.80
"Feb 05, 2021",14924.25
"Feb 04, 2021",14895.65
"Feb 03, 2021",14789.95
"Feb 02, 2021",14647.85
"Feb 01, 2021",14281.20
"Jan 29, 2021",13634.60
"Jan 28, 2021",13817.55
"Jan 27, 2021",13967.50
"Jan 25, 2021",14238.90
"Jan 22, 2021",14371.90
"Jan 21, 2021",14590.35
"Jan 20, 2021",14644.70
"Jan 19, 2021",14521.15
"Jan 18, 2021",14281.30
"Jan 15, 2021",14433.70
"Jan 14, 2021",14595.60
"Jan 13, 2021",14564.85
"Jan 12, 2021",14563.45
"Jan 11, 2021",14484.75
"Jan 08, 2021",14347.25
"Jan 07, 2021",14137.35
"Jan 06, 2021",14146.25
"Jan 05, 2021",14199.50
"Jan 04, 2021",14132.90
"Jan 01, 2021",14018.50
"Dec 31, 2020",13981.75
"Dec 30, 2020",13981.95
"Dec 29, 2020",13932.60
"Dec 28, 2020",13873.20
"Dec 24, 2020",13749.25
"Dec 23, 2020",13601.10
"Dec 22, 2020",13466.30
"Dec 21, 2020",13328.40
"Dec 18, 2020",13760.55
"Dec 17, 2020",13740.70
"Dec 16, 2020",13682.70
"Dec 15, 2020",13567.85
"Dec 14, 2020",13558.15
"Dec 11, 2020",13513.85
"Dec 10, 2020",13478.30
"Dec 09, 2020",13529.10
"Dec 08, 2020",13392.95
"Dec 07, 2020",13355.75
"Dec 04, 2020",13258.55
"Dec 03, 2020",13133.90
"Dec 02, 2020",13113.75
"Dec 01, 2020",13109.05
"Nov 27, 2020",12968.95
"Nov 26, 2020",12987.00
"Nov 25, 2020",12858.40
"Nov 24, 2020",13055.15
"Nov 23, 2020",12926.45
"Nov 20, 2020",12859.05
"Nov 19, 2020",12771.70
"Nov 18, 2020",12938.25
"Nov 17, 2020",12874.20
"Nov 14, 2020",
"Nov 13, 2020",12719.95
"Nov 12, 2020",12690.80
"Nov 11, 2020",12749.15
"Nov 10, 2020",12631.10
"Nov 09, 2020",12461.05
"Nov 06, 2020",12263.55
"Nov 05, 2020",12120.30
"Nov 04, 2020",11908.50
"Nov 03, 2020",11813.50
"Nov 02, 2020",11669.15
"Oct 30, 2020",11642.40
"Oct 29, 2020",11670.80
"Oct 28, 2020",11729.60
"Oct 27, 2020",11889.40
"Oct 26, 2020",11767.75
"Oct 23, 2020",11930.35
"Oct 22, 2020",11896.45
"Oct 21, 2020",11937.65
"Oct 20, 2020",11896.80
"Oct 19, 2020",11873.05
"Oct 16, 2020",11762.45
"Oct 15, 2020",11680.35
"Oct 14, 2020",11971.05
"Oct 13, 2020",11934.50
"Oct 12, 2020",11930.95
"Oct 09, 2020",11914.20
"Oct 08, 2020",11834.60
"Oct 07, 2020",11738.85
"Oct 06, 2020",11662.40
"Oct 05, 2020",11503.35
"Oct 01, 2020",11416.95
"Sep 30, 2020",11247.55
"Sep 29, 2020",11222.40
"Sep 28, 2020",11227.55
"Sep 25, 2020",11050.25
"Sep 24, 2020",10805.55
"Sep 23, 2020",11131.85
"Sep 22, 2020",11153.65
"Sep 21, 2020",11250.55
"Sep 18, 2020",11504.95
"Sep 17, 2020",11516.10
"Sep 16, 2020",11604.55
"Sep 15, 2020",11521.80
"Sep 14, 2020",11440.05
"Sep 11, 2020",11464.45
"Sep 10, 2020",11449.25
"Sep 09, 2020",11278.00
"Sep 08, 2020",11317.35
"Sep 07, 2020",11355.05
"Sep 04, 2020",11333.85
"Sep 03, 2020",11527.45
"Sep 02, 2020",11535.00
"Sep 01, 2020",11470.25
"Aug 31, 2020",11387.50
"Aug 28, 2020",11647.60
"Aug 27, 2020",11559.25
"Aug 26, 2020",11549.60
"Aug 25, 2020",11472.25
"Aug 24, 2020",11466.45
"Aug 21, 2020",11371.60
"Aug 20, 2020",11312.20
"Aug 19, 2020",11408.40
"Aug 18, 2020",11385.35
"Aug 17, 2020",11247.10
"Aug 14, 2020",11178.40
"Aug 13, 2020",11300.45
"Aug 12, 2020",11308.40
"Aug 11, 2020",11322.50
"Aug 10, 2020",11270.15
"Aug 07, 2020",11214.05
"Aug 06, 2020",11200.15
"Aug 05, 2020",11101.65
"Aug 04, 2020",11095.25
"Aug 03, 2020",10891.60
"Jul 31, 2020",11073.45
"Jul 30, 2020",11102.15
"Jul 29, 2020",11202.85
