Date,Open,High,Low,Close
24-Oct-19,-,-,-,5209.07
23-Oct-19,-,-,-,5220.79
22-Oct-19,-,-,-,5215.14
18-Oct-19,-,-,-,5231.73
17-Oct-19,-,-,-,5182.53
16-Oct-19,-,-,-,5122.75
15-Oct-19,-,-,-,5107.38
14-Oct-19,-,-,-,5074.14
11-Oct-19,-,-,-,5057.03
10-Oct-19,-,-,-,5030.6
09-Oct-19,-,-,-,5066.77
07-Oct-19,-,-,-,4992.11
04-Oct-19,-,-,-,5020.6
03-Oct-19,-,-,-,5079.18
01-Oct-19,-,-,-,5100.41
30-Sep-19,-,-,-,5159.05
27-Sep-19,-,-,-,5190.23
26-Sep-19,-,-,-,5216.95
25-Sep-19,-,-,-,5162.4
24-Sep-19,-,-,-,5234.71
23-Sep-19,-,-,-,5240.84
20-Sep-19,-,-,-,5099.37
19-Sep-19,-,-,-,4845.01
18-Sep-19,-,-,-,4906.82
17-Sep-19,-,-,-,4893.83
16-Sep-19,-,-,-,4979.78
13-Sep-19,-,-,-,5001.72
12-Sep-19,-,-,-,4963.6
11-Sep-19,-,-,-,4981.87
09-Sep-19,-,-,-,4956.35
06-Sep-19,-,-,-,4927.12
05-Sep-19,-,-,-,4885.89
04-Sep-19,-,-,-,4877.9
03-Sep-19,-,-,-,4860.93
30-Aug-19,-,-,-,4957.35
29-Aug-19,-,-,-,4918.06
28-Aug-19,-,-,-,4954.02
27-Aug-19,-,-,-,4982.45
26-Aug-19,-,-,-,4949.4
23-Aug-19,-,-,-,4853.2
22-Aug-19,-,-,-,4814.11
21-Aug-19,-,-,-,4895.05
20-Aug-19,-,-,-,4946.97
19-Aug-19,-,-,-,4969.68
16-Aug-19,-,-,-,4964.32
14-Aug-19,-,-,-,4955.11
13-Aug-19,-,-,-,4910.86
09-Aug-19,-,-,-,4997.07
08-Aug-19,-,-,-,4959.32
07-Aug-19,-,-,-,4891.03
06-Aug-19,-,-,-,4925.89
05-Aug-19,-,-,-,4877.33
02-Aug-19,-,-,-,4939.63
01-Aug-19,-,-,-,4935.57
31-Jul-19,-,-,-,4995.97
30-Jul-19,-,-,-,4973.97
29-Jul-19,-,-,-,5033.2
26-Jul-19,-,-,-,5079.84
25-Jul-19,-,-,-,5061.3
24-Jul-19,-,-,-,5062.58
23-Jul-19,-,-,-,5103.46
22-Jul-19,-,-,-,5110.73
19-Jul-19,-,-,-,5142.94
18-Jul-19,-,-,-,5227.23
17-Jul-19,-,-,-,5275.95
16-Jul-19,-,-,-,5268.57
15-Jul-19,-,-,-,5235.76
12-Jul-19,-,-,-,5230.19
11-Jul-19,-,-,-,5234.96
10-Jul-19,-,-,-,5198.87
09-Jul-19,-,-,-,5229.7
08-Jul-19,-,-,-,5225.49
05-Jul-19,-,-,-,5341.68
04-Jul-19,-,-,-,5407.66
03-Jul-19,-,-,-,5397.08
02-Jul-19,-,-,-,5389.97
01-Jul-19,-,-,-,5372.75
28-Jun-19,-,-,-,5342.65
27-Jun-19,-,-,-,5361.23
26-Jun-19,-,-,-,5355.46
25-Jun-19,-,-,-,5327.67
24-Jun-19,-,-,-,5290.39
21-Jun-19,-,-,-,5300.11
20-Jun-19,-,-,-,5335.08
19-Jun-19,-,-,-,5269.19
18-Jun-19,-,-,-,5284.26
17-Jun-19,-,-,-,5280.81
14-Jun-19,-,-,-,5350.85
13-Jun-19,-,-,-,5393.59
12-Jun-19,-,-,-,5395.87
11-Jun-19,-,-,-,5426.24
10-Jun-19,-,-,-,5405.22
07-Jun-19,-,-,-,5389.95
06-Jun-19,-,-,-,5383.11
04-Jun-19,-,-,-,5467.91
03-Jun-19,-,-,-,5493.54
31-May-19,-,-,-,5429.69
30-May-19,-,-,-,5436.23
29-May-19,-,-,-,5404.72
28-May-19,-,-,-,5437.18
27-May-19,-,-,-,5431.07
24-May-19,-,-,-,5383.25
23-May-19,-,-,-,5288.49
22-May-19,-,-,-,5313.2
21-May-19,-,-,-,5302.35
20-May-19,-,-,-,5353.74
17-May-19,-,-,-,5164.56
16-May-19,-,-,-,5105.31
15-May-19,-,-,-,5071.83
14-May-19,-,-,-,5100.72
13-May-19,-,-,-,5072.34
10-May-19,-,-,-,5144.88
09-May-19,-,-,-,5150.05
08-May-19,-,-,-,5172.38
07-May-19,-,-,-,5233.92
06-May-19,-,-,-,5278.98
